name,website,description,icon,latitude,longitude
The Getty,https://www.getty.edu/,"Famous, sizable free museum highlighting American & European art, architecture & manicured gardens.",building-columns,34.08,-118.47
The Original Farmers Market,https://farmersmarketla.com/,"Sprawling historic market features a range of trendy shops, restaurants & gourmet grocery purveyors.",carrot,34.07,-118.36
Universal Studios Hollywood,https://www.universalstudioshollywood.com/,"Sprawling amusement park with a cinema theme, featuring rides, restaurants, shops & shows.",film,34.14,-118.35
Griffith Observatory,https://griffithobservatory.org/,"This art deco landmark from 1935 features a high-tech planetarium, public telescopes & city views.",landmark,34.12,-118.3
La Brea Tar Pits,https://tarpits.org/,"Ice Age–fossil excavation site with an adjacent museum, plus a re-created prehistoric garden.",bone,34.06,-118.35
L.A. Live,http://www.lalive.com/,"Massive entertainment complex featuring a theater & The Grammy Museum, plus hotels & restaurants.",store,34.04,-118.27
Disneyland,https://disneyland.disney.go.com/,"Iconic amusement park featuring 8 themed ""lands"" with rides, shows & costumed characters.",wand-magic-sparkles,33.81,-117.92
Santa Monica Pier,https://santamonicapier.org/,"Storied seaside destination showcasing a range of shops & cafes, plus an amusement park & aquarium.",store,34.01,-118.5
Hermosa Beach,https://www.hermosabeach.gov/,"Beach & sunset ocean views, plus public restrooms & fishing.",umbrella-beach,33.86,-118.4
Battleship USS Iowa Museum,http://www.pacificbattleship.com/,Storied Navy warship offering kid-friendly tours (from the decks to the Captain’s Cabin) & exhibits.,ship,33.74,-118.28
Huntington Chinese Garden,https://huntington.org/japanese-garden,"Attraction featuring a bridge, waterfall, and pavilions, plus picnic areas.",seedling,34.13,-118.12
